item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB4411222171,N/D,Engate Reboque Gwm Poer 2025 2026 2100kg Removível Completo,N/D,N/D,SEM_MATCH_SECONDS,11896.82,16,16.0
MLB5148208414,N/D,Junta Superior Cabeçote Apolo Gol Logus Mi Ap 1.6 1.8,N/D,N/D,SEM_MATCH_SECONDS,8480.47,82,82.0
MLB4096955407,N/D,Jogo Pastilha Dianteira Freelander 2 2007 A 2015,N/D,N/D,SEM_MATCH_SECONDS,7625.09,32,33.0
MLB4096861467,N/D,Pastilha Freio Dianteira Suzuki Vitara / S-cross Após 2015,N/D,N/D,SEM_MATCH_SECONDS,5310.35,18,18.0
MLB4445439489,N/D,Filtro Ar K&n - Mercedes C63 C 63 Amg / S / 4.0 / 2016 2017,N/D,N/D,SEM_MATCH_SECONDS,3911.08,2,4.0
MLB6415815014,T-508,Polia Do Virabrequim C/damper - Amarok 3.0 Tdi V6 - T-508,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,3596.77,1,1.0
MLB6171701742,N/D,Filtro Ar K&n E-0660 - Porsche Macan 2.0 / 3.0 / 3.6 / 2014+,N/D,N/D,SEM_MATCH_SECONDS,3504.57,2,3.0
MLB4576053479,N/D,Jogo Pistao C/ Aneis Gol G5 G6 Voyage Fox 1.0 8v 2008 A 2016,N/D,N/D,SEM_MATCH_SECONDS,3274.7799999999997,7,7.0
MLB6520374496,N/D,Biela Motor Chevrolet Cruze 1.8 16v 2012 Até 2016 Ecotec,N/D,N/D,SEM_MATCH_SECONDS,3163.68,14,20.0
MLB4449446401,N/D,"Jogo Pistao 0,50 Toro Tigershark 2.4 16v 2016 A 2020",N/D,N/D,SEM_MATCH_SECONDS,3127.82,4,4.0
MLB5376377560,N/D,Ponteira De Engate Maciça Ranger 2024/2025 Removível 3500kg,N/D,N/D,SEM_MATCH_SECONDS,3113.92,4,4.0
MLB4604743131,131590ML2,Junta Cabeçote Sob Medida 1.20mm Ka Ka+ New Fiesta,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,3059.52,10,10.0
MLB5755208526,N/D,Engate Reboque Removível Xtreme Hilux 2005 A 2025,N/D,N/D,SEM_MATCH_SECONDS,2481.59,1,1.0
MLB4084143565,N/D,Par Disco Freio Dianteiro Ipanema 1.8 2.0 8v 1989 Até 1998,MDS,Disco de Freios,SEM_MATCH_SECONDS,2469.5099999999998,13,13.0
MLB5416066620,N/D,Par Disco De Freio Tras Astra Meriva Vectra 1.8 2.0 2.2 2.4,MDS,Disco de Freios,SEM_MATCH_SECONDS,2464.42,6,7.0
MLB4087894455,N/D,Par Disco Freio Dianteiro Tiida Livina D921,MDS,Disco de Freios,SEM_MATCH_SECONDS,2427.2599999999998,8,8.0
MLB4053750901,N/D,Engate Rabicho L200 Triton 2017 2018 2019 Remov 5000 Kg,N/D,N/D,SEM_MATCH_SECONDS,2375.92,1,1.0
MLB5410760486,N/D,Molas Eibach Pro-kit Ford Fusion 2.0 Ecoboost Fwd Awd 2013+,Eibach,Molas,SEM_MATCH_SECONDS,2364.0,1,1.0
MLB6505840046,N/D,Reservatório De Água Peugeot 206 207 1.4 1.6 16v Com Tampa,N/D,N/D,SEM_MATCH_SECONDS,2330.57,24,24.0
MLB4604035479,1212136PK,Junta Superior Cabeçote Corsa Prisma Montana Ohc 1.4 06/..,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,2285.84,17,18.0
MLB4084541091,N/D,Par Disco Freio Dian Corolla 1.8 16v 08 A 13 2.0 16v 10 A 13,MDS,Disco de Freios,SEM_MATCH_SECONDS,2275.96,6,6.0
MLB4080244565,N/D,Molas Esportivas Pro-kit Eibach Mercedes C180 C200 C250 W204,Eibach,Molas,SEM_MATCH_SECONDS,2245.0,1,1.0
MLB5420786736,N/D,Par Tambor Freio Traseiro Corsa 1.0 1.4 1.8 Frente Montana,MDS,Tambor,SEM_MATCH_SECONDS,2098.65,6,6.0
MLB5771132650,N/D,Jogo Junta Completo Fiesta 1.0 8v Zetec Rocam Gasolina,N/D,N/D,SEM_MATCH_SECONDS,2088.35,9,9.0
MLB6407948012,T-431,Polia Do Virabrequim Damper - Gran Blazer - Ford:bg1t6312-ba,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,2079.92,1,1.0
MLB6171701834,33-3153,Filtro De Ar K&n Porsche 911 (992 E 991.2) 2019+  Kit C/2,K&N,Filtros de Ar,PARAMETRO_NAO_CONFIAVEL,2070.36,1,1.0
MLB5410454620,CE10-40-036-07-22,Mola Eibach Pro-kit Honda Civic 10 X 1.5 T | 2.0 Flex 2017+,Eibach,Molas,PARAMETRO_NAO_CONFIAVEL,2043.0,1,1.0
MLB4482750235,N/D,Kit Válvula Admissão E Escape Cruze Tracker 1.8 16v Ecotec,N/D,N/D,SEM_MATCH_SECONDS,1843.94,3,3.0
MLB5420670994,N/D,Par Disco De Freio Dianteiro Sólido Kwid 1.0 2017 2018 2019,MDS,Disco de Freios,SEM_MATCH_SECONDS,1809.5,8,8.0
MLB4087944673,N/D,Par Tambor De Freio Traseiro Ford Ka 1.0 1.3 1.6 1997 A 2014,MDS,Tambor,SEM_MATCH_SECONDS,1807.82,5,5.0
MLB6611111530,141229PK,Junta Superior Cabeçote Palio Siena Uno Fiasa 96/...,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,1782.2400000000002,25,27.0
MLB6502062310,N/D,Cano Duplo De Água Do Motor Para Amarok 2.0 16v 2010/... Preto,N/D,N/D,SEM_MATCH_SECONDS,1771.8799999999999,9,9.0
MLB5298371120,N/D,"Jogo Aneis 0,60 147 Uno Fiorino Premio 1.0 1.3 1.5 8v 84/95",N/D,N/D,SEM_MATCH_SECONDS,1755.24,11,11.0
